trackID,acousticness,danceability,duration_ms,energy,instrumentalness,a_key,liveness,loudness,a_mode,speechiness,tempo,time_signature,valence,category
3EU8jFHu4KvvGKXTcYQiA9,0.000236,0.547000,211187,0.924000,0.000001,0,0.098800,-5.197000,1,0.058700,130.017000,4,0.494000,punk
1DVbHWrWABoZbkoRTdayQ6,0.044500,0.565000,208893,0.855000,0.000000,5,0.320000,-4.189000,1,0.055700,74.980000,4,0.857000,country
2zkcQzrOHrDRfVm939XIIl,0.030500,0.499000,221453,0.734000,0.000000,9,0.144000,-7.316000,1,0.177000,140.923000,4,0.361000,punk
4rpQP2XPmzJmRplh8onwmM,0.274000,0.717000,183800,0.660000,0.000000,2,0.120000,-4.714000,1,0.058000,128.889000,4,0.573000,country
612OyA9fA7SGM0VUlyM36g,0.015300,0.469000,85608,0.894000,0.000000,11,0.071500,-4.254000,0,0.118000,133.793000,4,0.783000,punk
31DTiRe9Q6vvdJ6DK9rKjb,0.804000,0.417000,189640,0.373000,0.000000,11,0.073600,-8.695000,1,0.032800,78.124000,4,0.322000,country
3LTlg46lED1ItDe3sgXA04,0.001210,0.305000,229160,0.970000,0.000001,5,0.375000,-4.452000,1,0.131000,130.018000,4,0.331000,punk
5BmagRD7Thki6O1zZwbxBy,0.000674,0.251000,258000,0.954000,0.000132,6,0.097500,-2.879000,1,0.069100,191.059000,4,0.269000,punk
4I5azUh7XiUcjFzAZUPfzX,0.015500,0.608000,220267,0.833000,0.000002,0,0.086000,-4.458000,1,0.036000,93.977000,4,0.406000,country
4W3FJbPeXtxBzIlb7hAbZG,0.062600,0.590000,187653,0.929000,0.000126,7,0.401000,-4.518000,1,0.051200,116.493000,4,0.634000,country
78OBZL4Z6QHdwwloWIh0Lt,0.050600,0.463000,161920,0.857000,0.000000,4,0.184000,-3.063000,1,0.063200,111.647000,4,0.839000,punk
5TdRUICV14CDXZbGAlBxKA,0.000586,0.609000,208627,0.879000,0.000000,11,0.104000,-3.219000,1,0.030700,97.982000,4,0.465000,punk
2uoFthdQx8tS1pECtCjm3V,0.669000,0.472000,223387,0.444000,0.027800,6,0.104000,-11.212000,1,0.029200,83.888000,4,0.219000,country
4qw5cXFcaTySJ1aPFMUeVq,0.351000,0.528000,196960,0.666000,0.000000,7,0.087900,-3.962000,0,0.033300,78.103000,4,0.526000,country
7N2DblLu8DuZ0seGYSg73v,0.016800,0.661000,216667,0.874000,0.000000,5,0.410000,-5.904000,0,0.045600,127.915000,4,0.679000,punk
2CAnE437xgn0c2TldVzflH,0.000107,0.413000,179054,0.957000,0.000000,6,0.298000,-4.435000,0,0.092500,174.908000,4,0.851000,punk
6oiaq7aC6DooFHBFJkmQ1n,0.003430,0.485000,220507,0.910000,0.000000,5,0.173000,-3.678000,1,0.035800,135.064000,4,0.602000,punk
4PWhDXQixVXBnLezKb0wCd,0.100000,0.508000,211227,0.904000,0.000000,6,0.175000,-4.306000,1,0.035000,150.027000,4,0.568000,country
5X4ie2qD7SGcHpjNcT6YfY,0.051700,0.533000,164181,0.788000,0.000000,2,0.326000,-11.595000,1,0.032400,95.071000,4,0.541000,punk
59t4DA9vQQa1DBAY9h30PW,0.000081,0.497000,222222,0.907000,0.000003,1,0.405000,-3.144000,0,0.039800,108.990000,4,0.452000,punk
5dTHtzHFPyi8TlTtzoz1J9,0.014200,0.356000,204733,0.960000,0.000000,4,0.209000,-3.487000,1,0.104000,125.921000,4,0.091500,punk
7lRlq939cDG4SzWOF4VAnd,0.006020,0.210000,186480,0.940000,0.000000,9,0.269000,-3.427000,1,0.123000,179.722000,4,0.254000,punk
